dyadid,ccode1,ccode2,year,cap_1,cap_2,alliance,democ1,democ2,autoc1,autoc2,dem1,dem2,distance,dyaddur,ongoing,mid,hostlev1,hostlev2,midnum,durat,capratio,allies,jointdem,_st,_d,_t,_t0,discount,strat6,surv,haz,haz0,haz1,haz2,haz3,haz4
2020,2,20,1968,.2095,.013286,1,10,10,0,0,10,10,0,48,0,0,0,0,0,49,.9403643,1,10,1,0,49,0,0,0,.991266896587041,,,,,,
2040,2,40,1968,.2095,.0028820001,4,10,0,0,7,10,-7,1135,59,0,0,0,0,0,6,.98643011,0,-7,1,0,6,0,0,0,.997442420925272,,,,,,
2041,2,41,1968,.2095,.000352,1,10,0,0,9,10,-9,1437,34,0,0,0,0,0,35,.99832261,1,-9,1,0,35,0,0,0,.9930338932865768,,,,,,
2042,2,42,1968,.2095,.00053999998,1,10,1,0,4,10,-3,1477,44,0,0,0,0,0,7,.99742907,1,-3,1,0,7,0,0,0,.9972464599966172,,,,,,
2051,2,51,1968,.2095,.00019000001,4,10,10,0,0,10,10,1446,6,0,0,0,0,0,7,.99909389,0,10,1,0,7,0,0,0,.9972464599966172,,,,,,
2052,2,52,1968,.2095,.000174,1,10,8,0,0,10,8,2176,6,0,0,0,0,0,7,.99917012,1,8,1,0,7,0,0,0,.9972464599966172,,,,,,
2053,2,53,1968,.2095,.000016,4,10,,0,,10,,2078,2,0,0,0,0,0,3,.99992365,0,,1,0,3,0,0,0,,,,,,,
2070,2,70,1968,.2095,.0086589996,1,10,0,0,6,10,-6,0,137,0,0,0,0,0,12,.96030879,1,-6,1,0,12,0,0,0,.9962113820646448,,,,,,
2090,2,90,1968,.2095,.00052100001,1,10,4,0,1,10,3,1869,100,0,0,0,0,0,10,.99751931,1,3,1,0,10,0,0,0,.9965515002525406,,,,,,
2091,2,91,1968,.2095,.00025000001,1,10,1,0,2,10,-1,1824,69,0,0,0,0,0,70,.99880809,1,-1,1,0,70,0,0,0,.9887331548767052,,,,,,
2092,2,92,1968,.2095,.00031100001,1,10,3,0,3,10,0,1895,93,0,0,0,0,0,47,.99851769,1,0,1,0,47,0,0,0,.991505010997567,,,,,,
2093,2,93,1968,.2095,.00023600001,1,10,0,0,8,10,-8,1935,68,0,0,0,0,0,42,.99887478,1,-8,1,0,42,0,0,0,.992115377676832,,,,,,
2094,2,94,1968,.2095,.00016,1,10,10,0,0,10,10,2050,48,0,0,0,0,0,49,.99923688,1,10,1,0,49,0,0,0,.991266896587041,,,,,,
2095,2,95,1968,.2095,.00021899999,1,10,0,0,7,10,-7,2076,48,0,0,0,0,0,49,.99895573,1,-7,1,0,49,0,0,0,.991266896587041,,,,,,
2100,2,100,1968,.2095,.003605,1,10,7,0,0,10,7,2379,137,0,0,0,0,0,64,.98308343,1,7,1,0,64,0,0,0,.989547251499462,,,,,,
2101,2,101,1968,.2095,.002808,1,10,7,0,1,10,6,2061,127,0,0,0,0,0,128,.98677391,1,6,1,0,128,0,0,0,.9796003336703044,,,,,,
2110,2,110,1968,.2095,.000058000001,4,10,4,0,3,10,1,2513,2,0,0,0,0,0,3,.99972326,0,1,1,0,3,0,0,0,.9984837400819305,,,,,,
2130,2,130,1968,.2095,.00074799999,1,10,4,0,3,10,1,2707,114,0,0,0,0,0,1,.99644232,1,1,1,0,1,0,1,1,.8567008674144745,,,,,,
2135,2,135,1968,.2095,.0022219999,1,10,0,0,7,10,-7,3524,129,0,0,0,0,0,6,.98950511,1,-7,1,0,6,0,0,0,.997442420925272,,,,,,
2140,2,140,1968,.2095,.014456,1,10,0,0,9,10,-9,4225,142,0,0,0,0,0,65,.93545163,1,-9,1,0,65,0,0,0,.989454683905124,,,,,,
2145,2,145,1968,.2095,.00058499997,1,10,0,0,4,10,-4,3874,120,0,0,0,0,0,121,.99721539,1,-4,1,0,121,0,0,0,.9825962887645047,,,,,,
2150,2,150,1968,.2095,.00030099999,1,10,0,0,8,10,-8,4611,92,0,0,0,0,0,118,.99856532,1,-8,1,0,118,0,0,0,.9825962887645047,,,,,,
2155,2,155,1968,.2095,.0024369999,1,10,6,0,0,10,6,5020,129,0,0,0,0,0,11,.98850131,1,6,1,0,11,0,0,0,.9964305812357573,,,,,,
2160,2,160,1968,.2095,.0066749998,1,10,0,0,9,10,-9,5221,127,0,0,0,0,0,128,.96912223,1,-9,1,0,128,0,0,0,.9796003336703044,,,,,,
2165,2,165,1968,.2095,.00062000001,1,10,8,0,0,10,8,5274,86,0,0,0,0,0,87,.99704933,1,8,1,0,87,0,0,0,.987828888820079,,,,,,
2200,2,200,1968,.2095,.031808998,1,10,10,0,0,10,10,3669,152,0,0,0,0,0,28,.86818147,1,10,1,0,28,0,0,0,.9939014193287409,,,,,,
2205,2,205,1968,.2095,.00060000003,4,10,10,0,0,10,10,3386,46,0,0,0,0,0,47,.99714422,0,10,1,0,47,0,0,0,.991505010997567,,,,,,
2210,2,210,1968,.2095,.0062429998,1,10,10,0,0,10,10,3851,23,0,0,0,0,0,149,.97106278,1,10,1,0,149,0,0,0,.9764068133232505,,,,,,
2211,2,211,1968,.2095,.0071789999,1,10,10,0,0,10,10,3866,23,0,0,0,0,0,135,.96686804,1,10,1,0,135,0,0,0,.9775581977637617,,,,,,
2212,2,212,1968,.2095,.0016749999,1,10,10,0,0,10,10,3972,24,0,0,0,0,0,46,.99206817,1,10,1,0,46,0,0,0,.9916560221671965,,,,,,
2220,2,220,1968,.2095,.024962001,1,10,6,0,1,10,5,3833,24,0,0,0,0,0,101,.89353496,1,5,1,0,101,0,0,0,.9858789171453478,,,,,,
2225,2,225,1968,.2095,.0017199999,4,10,10,0,0,10,10,4106,152,0,0,0,0,0,9,.99185681,0,10,1,0,9,0,0,0,.9967969348203639,,,,,,
2230,2,230,1968,.2095,.0096779997,4,10,0,0,7,10,-7,3788,152,0,0,0,0,0,67,.9558441,0,-7,1,0,67,0,0,0,.9891107413960475,,,,,,
2235,2,235,1968,.2095,.0026110001,1,10,0,0,9,10,-9,3568,152,0,0,0,0,0,153,.98769039,1,-9,1,0,153,0,0,0,.9764068133232505,,,,,,
2260,2,260,1968,.2095,.035746001,1,10,10,0,0,10,10,3980,13,0,0,0,0,0,14,.85424429,1,10,1,0,14,0,0,0,.9959794609137577,,,,,,
2265,2,265,1968,.2095,.0088710003,4,10,0,0,9,10,-9,4019,14,0,0,0,0,0,9,.95937645,0,-9,1,0,9,0,0,0,.9967969348203639,,,,,,
2290,2,290,1968,.2095,.014085,4,10,0,0,7,10,-7,4463,23,0,0,0,0,0,45,.93700385,0,-7,1,0,45,0,0,0,.9917291880935604,,,,,,
2305,2,305,1968,.2095,.003207,4,10,10,0,0,10,10,4431,13,0,0,0,0,0,8,.98492295,0,10,1,0,8,0,0,0,.9970003914480851,,,,,,
2310,2,310,1968,.2095,.0042409999,4,10,0,0,7,10,-7,4564,49,0,0,0,0,0,23,.98015821,0,-7,1,0,23,0,0,0,.994570346214722,,,,,,
2315,2,315,1968,.2095,.010217,4,10,,0,,10,,4292,23,0,0,0,0,0,11,.95349926,0,,1,0,11,0,0,0,,,,,,,
2325,2,325,1968,.2095,.020675,1,10,10,0,0,10,10,4488,152,0,0,0,0,0,150,.91017705,1,10,1,0,150,0,0,0,.9764068133232505,,,,,,
2338,2,338,1968,.2095,.000037999998,4,10,,0,,10,,4803,4,0,0,0,0,0,5,.99981862,0,,1,0,5,0,0,0,,,,,,,
2339,2,339,1968,.2095,.00062800001,4,10,0,0,9,10,-9,4829,24,0,0,0,0,0,10,.99701136,0,-9,1,0,10,0,0,0,.9965515002525406,,,,,,
2345,2,345,1968,.2095,.0050670002,4,10,0,0,7,10,-7,4721,24,0,0,0,0,0,22,.976385,0,-7,1,0,22,0,0,0,.9948146917614744,,,,,,
2350,2,350,1968,.2095,.0026,1,10,0,0,7,10,-7,5133,24,0,0,0,0,0,139,.98774165,1,-7,1,0,139,0,0,0,.9769965313933207,,,,,,
2352,2,352,1968,.2095,.000062999999,4,10,7,0,0,10,7,5668,8,0,0,0,0,0,9,.99969935,0,7,1,0,9,0,0,0,.9967969348203639,,,,,,
2355,2,355,1968,.2095,.0034640001,4,10,0,0,7,10,-7,4921,60,0,0,0,0,0,57,.98373437,0,-7,1,0,57,0,0,0,.9905842641566543,,,,,,
2360,2,360,1968,.2095,.006945,4,10,0,0,7,10,-7,4962,90,0,0,0,0,0,25,.96791333,0,-7,1,0,25,0,0,0,.9942975248311444,,,,,,
2365,2,365,1968,.2095,.163422,4,10,0,0,7,10,-7,4864,152,0,1,1,4,2928,1,.56177968,0,-7,1,1,1,0,7,6,.5347537994384766,.4652462005615234,,,,,
2375,2,375,1968,.2095,.001595,4,10,10,0,0,10,10,4311,51,0,0,0,0,0,49,.99244416,0,10,1,0,49,0,0,0,.991266896587041,,,,,,
2380,2,380,1968,.2095,.0051409998,4,10,10,0,0,10,10,4127,152,0,0,0,0,0,51,.97604835,0,10,1,0,51,0,0,0,.991210581909919,,,,,,
2385,2,385,1968,.2095,.001939,1,10,10,0,0,10,10,3876,23,0,0,0,0,0,60,.99082953,1,10,1,0,60,0,0,0,.9901406996285514,,,,,,
2390,2,390,1968,.2095,.001958,1,10,10,0,0,10,10,4051,23,0,0,0,0,0,149,.99074048,1,10,1,0,149,0,0,0,.9764068133232505,,,,,,
2395,2,395,1968,.2095,.000036000001,1,10,10,0,0,10,10,2807,24,0,0,0,0,0,25,.99982822,1,10,1,0,25,0,0,0,.9942975248311444,,,,,,
2411,2,411,1968,.2095,.000015,4,10,,0,,10,,5837,0,0,0,0,0,0,1,.99992841,0,,1,0,1,0,0,0,,,,,,,
2420,2,420,1968,.2095,.000021,4,10,10,0,0,10,10,4060,3,0,0,0,0,0,4,.99989974,0,10,1,0,4,0,0,0,.9980678165950512,,,,,,
2432,2,432,1968,.2095,.00033400001,4,10,0,0,7,10,-7,4554,8,0,0,0,0,0,9,.99840826,0,-7,1,0,9,0,0,0,.9967969348203639,,,,,,
2433,2,433,1968,.2095,.00043300001,4,10,0,0,7,10,-7,3964,8,0,0,0,0,0,9,.99793744,0,-7,1,0,9,0,0,0,.9967969348203639,,,,,,
2434,2,434,1968,.2095,.000182,4,10,0,0,7,10,-7,5387,8,0,0,0,0,0,9,.99913204,0,-7,1,0,9,0,0,0,.9967969348203639,,,,,,
2435,2,435,1968,.2095,.000073000003,4,10,0,0,7,10,-7,3904,8,0,0,0,0,0,9,.99965167,0,-7,1,0,9,0,0,0,.9967969348203639,,,,,,
2436,2,436,1968,.2095,.000193,4,10,0,0,7,10,-7,5062,8,0,0,0,0,0,9,.99907959,0,-7,1,0,9,0,0,0,.9967969348203639,,,,,,
2437,2,437,1968,.2095,.000379,4,10,0,0,9,10,-9,4948,8,0,0,0,0,0,9,.99819422,0,-9,1,0,9,0,0,0,.9967969348203639,,,,,,
2438,2,438,1968,.2095,.00030300001,4,10,0,0,9,10,-9,4381,10,0,0,0,0,0,2,.99855578,0,-9,1,0,2,0,0,0,.9991033134220149,,,,,,
2439,2,439,1968,.2095,.00026599999,4,10,0,0,7,10,-7,4914,8,0,0,0,0,0,9,.99873191,0,-7,1,0,9,0,0,0,.9967969348203639,,,,,,
2450,2,450,1968,.2095,.000102,4,10,0,0,6,10,-6,4676,48,0,0,0,0,0,49,.99951339,0,-6,1,0,49,0,0,0,.991266896587041,,,,,,
2451,2,451,1968,.2095,.000185,4,10,4,0,2,10,2,4451,7,0,0,0,0,0,8,.99911773,0,2,1,0,8,0,0,0,.9970003914480851,,,,,,
2452,2,452,1968,.2095,.00077799999,4,10,0,0,7,10,-7,5275,11,0,0,0,0,0,12,.99630016,0,-7,1,0,12,0,0,0,.9962113820646448,,,,,,
2461,2,461,1968,.2095,.00013499999,4,10,0,0,7,10,-7,5326,8,0,0,0,0,0,9,.99935603,0,-7,1,0,9,0,0,0,.9967969348203639,,,,,,
2471,2,471,1968,.2095,.00046400001,4,10,0,0,7,10,-7,5979,8,0,0,0,0,0,9,.9977901,0,-7,1,0,9,0,0,0,.9967969348203639,,,,,,
2475,2,475,1968,.2095,.0046470002,4,10,0,0,7,10,-7,5517,8,0,0,0,0,0,9,.97829998,0,-7,1,0,9,0,0,0,.9967969348203639,,,,,,
2481,2,481,1968,.2095,.000065,4,10,0,0,7,10,-7,6019,8,0,0,0,0,0,9,.99968982,0,-7,1,0,9,0,0,0,.9967969348203639,,,,,,
2482,2,482,1968,.2095,.00012899999,4,10,0,0,9,10,-9,6336,8,0,0,0,0,0,9,.99938464,0,-9,1,0,9,0,0,0,.9967969348203639,,,,,,
2483,2,483,1968,.2095,.000214,4,10,0,0,9,10,-9,5811,8,0,0,0,0,0,9,.99897957,0,-9,1,0,9,0,0,0,.9967969348203639,,,,,,
2484,2,484,1968,.2095,.00017,4,10,0,0,7,10,-7,6534,8,0,0,0,0,0,9,.9991892,0,-7,1,0,9,0,0,0,.9967969348203639,,,,,,
2490,2,490,1968,.2095,.001963,4,10,0,0,9,10,-9,6536,8,0,0,0,0,0,9,.99071705,0,-9,1,0,9,0,0,0,.9967969348203639,,,,,,
2500,2,500,1968,.2095,.000558,4,10,0,0,6,10,-6,7258,6,0,0,0,0,0,7,.9973436,0,-6,1,0,7,0,0,0,.9972464599966172,,,,,,
2501,2,501,1968,.2095,.00076299999,4,10,3,0,3,10,0,7551,5,0,0,0,0,0,6,.99637121,0,0,1,0,6,0,0,0,.997442420925272,,,,,,
2510,2,510,1968,.2095,.00073000003,4,10,0,0,7,10,-7,7929,7,0,0,0,0,0,8,.99652761,0,-7,1,0,8,0,0,0,.9970003914480851,,,,,,
2516,2,516,1968,.2095,.000176,4,10,0,0,7,10,-7,7252,6,0,0,0,0,0,7,.99916059,0,-7,1,0,7,0,0,0,.9972464599966172,,,,,,
2517,2,517,1968,.2095,.00017699999,4,10,1,0,6,10,-5,7226,6,0,0,0,0,0,7,.99915582,0,-5,1,0,7,0,0,0,.9972464599966172,,,,,,
2520,2,520,1968,.2095,.000239,4,10,7,0,0,10,7,7830,8,0,0,0,0,0,9,.99886048,0,7,1,0,9,0,0,0,.9967969348203639,,,,,,
2530,2,530,1968,.2095,.001754,4,10,0,0,9,10,-9,7165,27,0,0,0,0,0,67,.99169719,0,-9,1,0,67,0,0,0,.9891107413960475,,,,,,
2551,2,551,1968,.2095,.000485,4,10,3,0,3,10,0,7705,4,0,0,0,0,0,5,.99769032,0,0,1,0,5,0,0,0,.9977041886732689,,,,,,
2552,2,552,1968,.2095,.00059000001,4,10,7,0,3,10,4,7952,3,0,0,0,0,0,4,.99719167,0,4,1,0,4,0,0,0,.9980678165950512,,,,,,
2553,2,553,1968,.2095,.000252,4,10,0,0,9,10,-9,7942,4,0,0,0,0,0,5,.99879861,0,-9,1,0,5,0,0,0,.9977041886732689,,,,,,
2560,2,560,1968,.2095,.005663,4,10,7,0,3,10,4,8700,48,0,0,0,0,0,49,.97368044,0,4,1,0,49,0,0,0,.991266896587041,,,,,,
2570,2,570,1968,.2095,.000058000001,4,10,9,0,0,10,9,8197,2,0,0,0,0,0,3,.99972326,0,9,1,0,3,0,0,0,.9984837400819305,,,,,,
2571,2,571,1968,.2095,.000032,4,10,10,0,0,10,10,7944,2,0,0,0,0,0,3,.99984729,0,10,1,0,3,0,0,0,.9984837400819305,,,,,,
2572,2,572,1968,.2095,.000023000001,4,10,3,0,3,10,0,8280,0,0,0,0,0,0,1,.99989021,0,0,1,0,1,0,0,0,.9998979006195441,,,,,,
2580,2,580,1968,.2095,.000443,4,10,2,0,4,10,-2,8856,8,0,0,0,0,0,9,.99788988,0,-2,1,0,9,0,0,0,.9967969348203639,,,,,,
2590,2,590,1968,.2095,.000078999998,4,10,9,0,0,10,9,9460,0,0,0,0,0,0,1,.99962306,0,9,1,0,1,0,0,0,.9998979006195441,,,,,,
2600,2,600,1968,.2095,.002073,4,10,0,0,9,10,-9,3821,12,0,0,0,0,0,20,.99020195,0,-9,1,0,20,0,0,0,.995146826681116,,,,,,
2615,2,615,1968,.2095,.001786,4,10,0,0,9,10,-9,4225,6,0,0,0,0,0,7,.99154699,0,-9,1,0,7,0,0,0,.9972464599966172,,,,,,
2616,2,616,1968,.2095,.00059499999,4,10,0,0,9,10,-9,4566,12,0,0,0,0,0,70,.99716794,0,-9,1,0,70,0,0,0,.9887331548767052,,,,,,
2620,2,620,1968,.2095,.00031800001,4,10,0,0,7,10,-7,4856,17,0,0,0,0,0,18,.99848437,0,-7,1,0,18,0,0,0,.9954508326042074,,,,,,
2625,2,625,1968,.2095,.001018,4,10,8,0,1,10,7,6550,12,0,0,0,0,0,13,.99516433,0,7,1,0,13,0,0,0,.9961074757884542,,,,,,
2630,2,630,1968,.2095,.005351,3,10,0,0,10,10,-10,6332,113,0,0,0,0,0,114,.97509438,1,-10,1,0,114,0,0,0,.9832934892558162,,,,,,
2640,2,640,1968,.2095,.0082430001,1,10,9,0,0,10,9,5427,152,0,0,0,0,0,152,.96214342,1,9,1,0,152,0,0,0,.9764068133232505,,,,,,
2645,2,645,1968,.2095,.002234,4,10,0,0,7,10,-7,6200,36,0,0,0,0,0,37,.98944902,0,-7,1,0,37,0,0,0,.9927890535603999,,,,,,
2651,2,651,1968,.2095,.0071450002,4,10,0,0,7,10,-7,5815,31,0,1,3,1,2924,4,.9670198,0,-7,1,1,4,0,0,0,.9980678165950512,.00041655509267,.00041655509,,,,
2652,2,652,1968,.2095,.0014299999,4,10,0,0,7,10,-7,5869,7,0,0,0,0,0,21,.99322051,0,-7,1,0,21,0,0,0,.9950392586864312,,,,,,
2660,2,660,1968,.2095,.00044900001,4,10,4,0,2,10,2,5818,22,0,0,0,0,0,23,.99786139,0,2,1,0,23,0,0,0,.994570346214722,,,,,,
2663,2,663,1968,.2095,.00074599998,4,10,0,0,9,10,-9,5928,22,0,0,0,0,0,23,.9964518,0,-9,1,0,23,0,0,0,.994570346214722,,,,,,
2666,2,666,1968,.2095,.00153,4,10,9,0,0,10,9,5908,20,0,0,0,0,0,21,.99274987,0,9,1,0,21,0,0,0,.9950392586864312,,,,,,
2670,2,670,1968,.2095,.001312,4,10,0,0,10,10,-10,6746,41,0,0,0,0,0,42,.99377644,0,-10,1,0,42,0,0,0,.992115377676832,,,,,,
2678,2,678,1968,.2095,.00034200001,4,10,0,0,3,10,-3,7115,42,0,0,0,0,0,43,.99837023,0,-3,1,0,43,0,0,0,.9919400491405532,,,,,,
2680,2,680,1968,.2095,.000189,4,10,0,0,5,10,-5,7283,1,0,0,0,0,0,2,.99909866,0,-5,1,0,2,0,0,0,.9991033134220149,,,,,,
2690,2,690,1968,.2095,.000275,4,10,0,0,9,10,-9,6545,7,0,0,0,0,0,8,.99868906,0,-9,1,0,8,0,0,0,.9970003914480851,,,,,,
2700,2,700,1968,.2095,.001402,4,10,0,0,7,10,-7,6930,48,0,0,0,0,0,49,.99335235,0,-7,1,0,49,0,0,0,.991266896587041,,,,,,
2712,2,712,1968,.2095,.00039999999,4,10,0,0,7,10,-7,6440,47,0,0,0,0,0,48,.99809432,0,-7,1,0,48,0,0,0,.991401047183066,,,,,,
2713,2,713,1968,.2095,.0061670002,3,10,0,0,8,10,-8,7866,19,0,0,0,0,0,18,.97140497,1,-8,1,0,18,0,0,0,.9954508326042074,,,,,,
2732,2,732,1968,.2095,.0093489997,3,10,1,0,4,10,-3,6944,19,0,0,0,0,0,20,.95728105,1,-3,1,0,20,0,0,0,.995146826681116,,,,,,
2740,2,740,1968,.2095,.04989,4,10,10,0,0,10,10,6779,16,0,0,0,0,0,17,.80766416,0,10,1,0,17,0,0,0,.9955772340341984,,,,,,
2750,2,750,1968,.2095,.051229,4,10,9,0,0,10,9,7493,21,0,0,0,0,0,22,.80351627,0,9,1,0,22,0,0,0,.9948146917614744,,,,,,
2770,2,770,1968,.2095,.01163,3,10,4,0,1,10,3,7077,21,0,0,0,0,0,22,.94740653,1,3,1,0,22,0,0,0,.9948146917614744,,,,,,
2775,2,775,1968,.2095,.0027650001,4,10,0,0,7,10,-7,8573,20,0,0,0,0,0,21,.98697382,0,-7,1,0,21,0,0,0,.9950392586864312,,,,,,
2780,2,780,1968,.2095,.00088100001,4,10,7,0,0,10,7,8949,20,0,0,0,0,0,21,.99581236,0,7,1,0,21,0,0,0,.9950392586864312,,,,,,
2781,2,781,1968,.2095,6.0000002e-06,4,10,,0,,10,,8935,3,0,0,0,0,0,4,.99997139,0,,1,0,4,0,0,0,,,,,,,
2790,2,790,1968,.2095,.00066000002,4,10,0,0,9,10,-9,7703,48,0,0,0,0,0,49,.99685955,0,-9,1,0,49,0,0,0,.991266896587041,,,,,,
2800,2,800,1968,.2095,.0037140001,3,10,,0,,10,,8804,81,0,0,0,0,0,82,.9825809,1,,1,0,82,0,0,0,,,,,,,
2811,2,811,1968,.2095,.001075,4,10,0,0,9,10,-9,8957,15,0,1,4,4,1806,1,.99489492,0,-9,1,1,1,0,3,3,.6489514112472534,.3510485887527466,,,,.35104859,
2812,2,812,1968,.2095,.00087799999,4,10,,0,,10,,8516,15,0,0,0,0,0,16,.99582654,0,,1,0,16,0,0,0,,,,,,,
2817,2,817,1968,.2095,.0072269998,4,10,1,0,4,10,-3,9007,14,0,0,0,0,0,15,.96665388,0,-3,1,0,15,0,0,0,.9958884908456452,,,,,,
2820,2,820,1968,.2095,.001305,4,10,10,0,0,10,10,9538,11,0,0,0,0,0,12,.99380946,0,10,1,0,12,0,0,0,.9962113820646448,,,,,,
2830,2,830,1968,.2095,.00072399998,4,10,2,0,4,10,-2,9669,3,0,0,0,0,0,4,.99655604,0,-2,1,0,4,0,0,0,.9980678165950512,,,,,,
2840,2,840,1968,.2095,.0035359999,3,10,6,0,1,10,5,8570,22,0,0,0,0,0,23,.98340189,1,5,1,0,23,0,0,0,.994570346214722,,,,,,
2850,2,850,1968,.2095,.013033,4,10,0,0,7,10,-7,10172,19,0,0,0,0,0,20,.94143343,0,-7,1,0,20,0,0,0,.995146826681116,,,,,,
2900,2,900,1968,.2095,.0078210002,3,10,10,0,0,10,10,9916,48,0,0,0,0,0,49,.96401179,1,10,1,0,49,0,0,0,.991266896587041,,,,,,
2920,2,920,1968,.2095,.000711,3,10,10,0,0,10,10,8759,48,0,0,0,0,0,49,.99661767,1,10,1,0,49,0,0,0,.991266896587041,,,,,,
20040,20,40,1968,.013286,.0028820001,4,10,0,0,7,10,-7,1586,48,0,0,0,0,0,49,.82174665,0,-7,1,0,49,0,0,0,.991266896587041,,,,,,
20041,20,41,1968,.013286,.000352,4,10,0,0,9,10,-9,1869,34,0,0,0,0,0,35,.97418976,0,-9,1,0,35,0,0,0,.9930338932865768,,,,,,
20042,20,42,1968,.013286,.00053999998,4,10,1,0,4,10,-3,1893,44,0,0,0,0,0,45,.96094316,0,-3,1,0,45,0,0,0,.9917291880935604,,,,,,
20051,20,51,1968,.013286,.00019000001,4,10,10,0,0,10,10,1897,6,0,0,0,0,0,7,.98590088,0,10,1,0,7,0,0,0,.9972464599966172,,,,,,
20052,20,52,1968,.013286,.000174,4,10,8,0,0,10,8,2547,6,0,0,0,0,0,7,.98707283,0,8,1,0,7,0,0,0,.9972464599966172,,,,,,
20053,20,53,1968,.013286,.000016,4,10,,0,,10,,2426,2,0,0,0,0,0,3,.99879718,0,,1,0,3,0,0,0,,,,,,,
20070,20,70,1968,.013286,.0086589996,4,10,0,0,6,10,-6,2243,48,0,0,0,0,0,49,.60542268,0,-6,1,0,49,0,0,0,.991266896587041,,,,,,
20090,20,90,1968,.013286,.00052100001,4,10,4,0,1,10,3,2299,48,0,0,0,0,0,49,.96226549,0,3,1,0,49,0,0,0,.991266896587041,,,,,,
20091,20,91,1968,.013286,.00025000001,4,10,1,0,2,10,-1,2268,48,0,0,0,0,0,49,.98153073,0,-1,1,0,49,0,0,0,.991266896587041,,,,,,
20092,20,92,1968,.013286,.00031100001,4,10,3,0,3,10,0,2332,48,0,0,0,0,0,36,.97712731,0,0,1,0,36,0,0,0,.9928784202482701,,,,,,
20093,20,93,1968,.013286,.00023600001,4,10,0,0,8,10,-8,2384,48,0,0,0,0,0,49,.98254699,0,-8,1,0,49,0,0,0,.991266896587041,,,,,,
20094,20,94,1968,.013286,.00016,4,10,10,0,0,10,10,2504,48,0,0,0,0,0,49,.98810053,0,10,1,0,49,0,0,0,.991266896587041,,,,,,
20095,20,95,1968,.013286,.00021899999,4,10,0,0,7,10,-7,2531,48,0,0,0,0,0,49,.98378378,0,-7,1,0,49,0,0,0,.991266896587041,,,,,,
20100,20,100,1968,.013286,.003605,4,10,7,0,0,10,7,2825,48,0,0,0,0,0,49,.78657275,0,7,1,0,49,0,0,0,.991266896587041,,,,,,
20101,20,101,1968,.013286,.002808,4,10,7,0,1,10,6,2470,48,0,0,0,0,0,49,.82552505,0,6,1,0,49,0,0,0,.991266896587041,,,,,,
20110,20,110,1968,.013286,.000058000001,4,10,4,0,3,10,1,2870,2,0,0,0,0,0,3,.99565345,0,1,1,0,3,0,0,0,.9984837400819305,,,,,,
20130,20,130,1968,.013286,.00074799999,4,10,4,0,3,10,1,3161,48,0,0,0,0,0,49,.94670087,0,1,1,0,49,0,0,0,.991266896587041,,,,,,
20135,20,135,1968,.013286,.0022219999,4,10,0,0,7,10,-7,3975,48,0,0,0,0,0,49,.85671914,0,-7,1,0,49,0,0,0,.991266896587041,,,,,,
20140,20,140,1968,.013286,.014456,4,10,0,0,9,10,-9,4577,48,0,0,0,0,0,49,.52108717,0,-9,1,0,49,0,0,0,.991266896587041,,,,,,
20145,20,145,1968,.013286,.00058499997,4,10,0,0,4,10,-4,4308,48,0,0,0,0,0,49,.95782566,0,-4,1,0,49,0,0,0,.991266896587041,,,,,,
20150,20,150,1968,.013286,.00030099999,4,10,0,0,8,10,-8,5019,48,0,0,0,0,0,49,.97784644,0,-8,1,0,49,0,0,0,.991266896587041,,,,,,
20155,20,155,1968,.013286,.0024369999,4,10,6,0,0,10,6,5464,48,0,0,0,0,0,49,.84500414,0,6,1,0,49,0,0,0,.991266896587041,,,,,,
20160,20,160,1968,.013286,.0066749998,4,10,0,0,9,10,-9,5638,48,0,0,0,0,0,49,.66559792,0,-9,1,0,49,0,0,0,.991266896587041,,,,,,
20165,20,165,1968,.013286,.00062000001,4,10,8,0,0,10,8,5686,48,0,0,0,0,0,49,.95541495,0,8,1,0,49,0,0,0,.991266896587041,,,,,,
20200,20,200,1968,.013286,.031808998,1,10,10,0,0,10,10,3335,48,0,0,0,0,0,49,.70537752,1,10,1,0,49,0,0,0,.991266896587041,,,,,,
20205,20,205,1968,.013286,.00060000003,4,10,10,0,0,10,10,3048,46,0,0,0,0,0,47,.95679098,0,10,1,0,47,0,0,0,.991505010997567,,,,,,
20210,20,210,1968,.013286,.0062429998,1,10,10,0,0,10,10,3504,23,0,0,0,0,0,45,.68032157,1,10,1,0,45,0,0,0,.9917291880935604,,,,,,
20211,20,211,1968,.013286,.0071789999,1,10,10,0,0,10,10,3529,23,0,0,0,0,0,45,.64920598,1,10,1,0,45,0,0,0,.9917291880935604,,,,,,
20212,20,212,1968,.013286,.0016749999,1,10,10,0,0,10,10,3640,24,0,0,0,0,0,46,.88804227,1,10,1,0,46,0,0,0,.9916560221671965,,,,,,
20220,20,220,1968,.013286,.024962001,1,10,6,0,1,10,5,3513,24,0,0,0,0,0,47,.65263546,1,5,1,0,47,0,0,0,.991505010997567,,,,,,
20225,20,225,1968,.013286,.0017199999,4,10,10,0,0,10,10,3786,48,0,0,0,0,0,49,.8853792,0,10,1,0,49,0,0,0,.991266896587041,,,,,,
20230,20,230,1968,.013286,.0096779997,4,10,0,0,7,10,-7,3541,48,0,0,0,0,0,46,.57855773,0,-7,1,0,46,0,0,0,.9916560221671965,,,,,,
